cluster no.,lambda_index,lambda,dc,dc1,dc2,cluster
1,55,45.99999999999999,0.0034130434782608,0.0036304347826086,0.5043478260869566,"[16, 41]"
2,50,40.99999999999998,0.0038292682926829,0.0040731707317073,0.5658536585365856,"[38, 52, 56]"
3,45,37.000000000000014,0.0042432432432432,0.0045135135135135,0.6270270270270267,"[3, 7]"
4,41,35.999999999999986,0.0043611111111111,0.0046388888888888,0.6444444444444447,"[2, 4, 28, 36]"
5,32,27.0,0.0058148148148148,0.0061851851851851,0.8592592592592593,"[5, 48]"
6,28,23.999999999999975,0.0065416666666666,0.0069583333333333,0.9666666666666676,"[21, 47]"
7,27,23.91421413404846,0.0065651331513531,0.0069832944985731,0.9701343255502768,"[11, 13, 27, 31, 32, 35, 40]"
8,25,17.941378615688144,0.0087507210768473,0.0093080918460732,1.2931001846041896,"[20, 34, 39, 54]"
9,21,10.96273446395452,0.0143212444409938,0.0152334256155794,2.116260325038577,"[8, 9, 42, 46]"
10,18,7.000000000000002,0.0224285714285714,0.0238571428571428,3.314285714285713,"[10, 51]"
11,11,2.9999999999999933,0.0523333333333334,0.0556666666666667,7.73333333333335,"[29, 37, 59]"
12,9,0.9999999999999888,0.1570000000000017,0.1670000000000019,23.200000000000266,"[15, 24]"
13,7,0.9725913397161202,0.1614244272890864,0.1717062379444422,23.853800720425507,"[6, 30]"
14,5,0.9619431764574596,0.163211303788424,0.1736069282335466,24.117848712684314,"[12, 14, 18, 22, 23, 57]"
15,3,0.8074175964327355,0.1944470874720147,0.2068322522791494,28.733582352552492,"[25, 33, 49, 50]"
16,2,0.5944523446327293,0.2641086395192862,0.2809308458580942,39.02751870603465,"[43, 44]"
